M, Cohen, Fr?d?ric, M7, 10931
M, Peter, Christian, M7, 11082
M, Tavernier, Bernard, M4, 11217
M, Santoni, Alain, ELITE_1, 11277
M, Declercq, Georges, M3, 11340
M, Baud, David, M6, 11420
M, Levesque, Guy, M3, 11587
M, Duflot, C?dric, M8, 11720
M, Grignon, Kevin, M4, 11866
M, Taupin, Jean-Luc, ELITE_1, 11957
M, Pierron, Jean-Michel, ELITE_2, 12106
M, Duvivier, Fabrice, M5, 12232
M, Legrand, Charles, ELITE_1, 12347
M, Mathis, Jo?l, M8, 12451
M, Mille, Maurice, ELITE_2, 12561
M, Durant, Maurice, M8, 12715
M, Giry, Bruno, M5, 12878
M, Allart, Adrien, M8, 12990
M, Perez, Alain, M6, 13072
M, Bonnot, Yves, M7, 13240
M, Marot, Maxime, M3, 13338
M, Leblanc, Francis, ELITE_1, 13401
M, Blais, Jo?l, M2, 13461
M, Henaff, Claude, M9, 13531
M, Baudin, Fran?ois, M5, 13592
M, Berry, Yves, M2, 13735
M, Lescure, Raymond, M1, 13857
M, Le, Jonathan, M2, 14007
M, Pinson, Richard, M1, 14087
M, Poirier, Florian, M4, 14171
M, Chartier, S?bastien, ELITE_2, 14321
M, Barbet, Olivier, M7, 14453
M, Perret, Guy, ELITE_2, 14548
M, Delplanque, Fran?ois, M8, 14630
M, Bourcier, Michel, ELITE_2, 14754
M, Ruiz, Ren?, M5, 14826
M, Busson, Robert, M8, 14939
M, Sellier, Jean-Paul, ELITE_1, 15024
M, Gressier, Richard, M6, 15151
M, Kohler, Albert, M5, 15288
M, Fontaine, Xavier, ELITE_1, 15348
M, Laborde, Thomas, ELITE_1, 15494
M, Parisot, Emile, M9, 15671
M, Michelet, Philippe, M5, 15832
M, Hery, Dominique, M8, 15981
M, Delcroix, Bruno, ELITE_1, 16157
M, Goetz, Sylvain, M4, 16294
M, Harel, Antoine, M1, 16405
M, Fontaine, Jean-Fran?ois, M6, 16548
M, Gayet, Roger, M4, 16703
M, Marie, J?r?me, ELITE_1, 16849
M, Faivre, G?rard, M4, 16919
M, Camus, Florian, M5, 17065
M, Decroix, Nicolas, ELITE_2, 17169
M, Denys, Olivier, M5, 17343
M, Molinier, Damien, M1, 17475
M, Raymond, Cyril, M3, 17633
M, Bordas, Jo?l, M3, 17802
M, Maury, Denis, M3, 17970
M, Quere, Jean-Luc, ELITE_1, 18144
M, Bergeret, Jean-Claude, M1, 18276
M, Olive, Albert, M2, 18430
M, Duez, J?r?my, M4, 18545
M, Santos, Fabrice, M9, 18723
M, Burel, Guillaume, M4, 18836
M, Jaffre, Ren?, ELITE_1, 18923
M, Couret, Daniel, M4, 19030
M, Letellier, Micka?l, ELITE_1, 19144
M, Joly, Vincent, M7, 19281
M, Lefrancois, Robert, M1, 19393
M, Gonzalez, Raymond, M7, 19462
M, Salmon, Marc, M2, 19523
M, Guy, Herv?, M5, 19695
M, Pastor, Claude, M2, 19827
M, Philibert, J?r?me, M8, 19927
M, Cros, Richard, M5, 20030
M, Lebreton, Emmanuel, M9, 20201
M, Saillard, Didier, M1, 20356
M, Lucas, Michel, M3, 20443
M, Tran, Roland, M4, 20524
M, Ducrot, Damien, M9, 20596
M, Rossignol, Jean, M9, 20701
M, Marais, Alexis, M6, 20839
M, Vaillant, Claude, M6, 20909
M, Cornu, Serge, M3, 20969
M, Vilain, Jacques, ELITE_1, 21073
M, Sergent, Julien, M6, 21143
M, Canu, Georges, M3, 21243
M, Compagnon, Beno?t, M6, 21311
M, Delacour, Jean-Pierre, M6, 21411
M, Gabriel, Xavier, M4, 21502
M, Rabier, G?rard, M6, 21604
M, Delacour, Guillaume, M4, 21719
M, Hardouin, Jean-Fran?ois, M7, 21827
M, Delhaye, Emile, M9, 21960
M, Schwartz, Jean-Luc, M8, 22025
M, Savin, Roland, M4, 22124
M, Courtin, Herv?, M1, 22196
M, Chevrier, Louis, ELITE_2, 22258
M, Grand, Jean, M5, 22323
M, Cohen, Fr?d?ric, ELITE_1, 22440
M, Peter, Christian, M6, 22525
M, Tavernier, Bernard, M3, 22588
M, Santoni, Alain, ELITE_2, 22662
M, Declercq, Georges, M8, 22741
M, Baud, David, M3, 22910
M, Levesque, Guy, M5, 22997
M, Duflot, C?dric, M1, 23134
M, Grignon, Kevin, M8, 23237
